# View: fund_performance
# Question: How has it done against its benchmark, for the risk taken?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - The benchmark here is an index fund that tracks the index, not the index itself, whose levels are licensed for personal use. That fund's costs keep it a little behind the index, so this fund's lead over it reads a little larger than over the index.
# Generated: 2026-09-26T10:33:47.274501+00:00
measure,1y,meaning
Return a year,-0.028332,"Annualised, with dividends reinvested."
Benchmark a year,-0.012329,"The benchmark over the same days, dividends included."
Ahead of benchmark,-0.016003,The fund's return a year less the benchmark's.
Volatility,0.152271,"How widely its daily price swings, scaled to a year."
Deepest fall,-0.175828,The largest fall from a high within the period.
Sharpe ratio,-0.545613,Return above cash for each unit of volatility.
Sortino ratio,-0.755186,Return above cash for each unit of downward swings only.
Treynor ratio,-0.078155,Return above cash for each unit of beta.
Alpha a year,-0.011776,Return beyond what its beta to the benchmark accounts for.
Beta,1.063022,How far it moved for each 1% the benchmark moved.
Tracking error,0.034194,"How far its daily returns strayed from the benchmark's, a year."
Information ratio,-0.468006,Its lead over the benchmark for each unit of tracking error.
Up capture,1.016994,"Its gain on the days the benchmark rose, as a share of the benchmark's."
Down capture,1.021092,"Its loss on the days the benchmark fell, as a share of the benchmark's."
