# View: fund_performance
# Question: How has it done against its benchmark, for the risk taken?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - The benchmark here is an index fund that tracks the index, not the index itself, whose levels are licensed for personal use. That fund's costs keep it a little behind the index, so this fund's lead over it reads a little larger than over the index.
# Generated: 2026-09-26T10:33:41.065552+00:00
measure,1y,3y,meaning
Return a year,-0.061388,0.065948,"Annualised, with dividends reinvested."
Benchmark a year,-0.064991,,"The benchmark over the same days, dividends included."
Ahead of benchmark,0.003603,,The fund's return a year less the benchmark's.
Volatility,0.131867,0.131226,"How widely its daily price swings, scaled to a year."
Deepest fall,-0.150634,-0.154211,The largest fall from a high within the period.
Sharpe ratio,-0.880713,-0.019813,Return above cash for each unit of volatility.
Sortino ratio,-1.202919,-0.028110,Return above cash for each unit of downward swings only.
Treynor ratio,-0.116075,,Return above cash for each unit of beta.
Alpha a year,0.003667,,Return beyond what its beta to the benchmark accounts for.
Beta,1.000536,,How far it moved for each 1% the benchmark moved.
Tracking error,0.004744,,"How far its daily returns strayed from the benchmark's, a year."
Information ratio,0.759486,,Its lead over the benchmark for each unit of tracking error.
Up capture,1.009348,,"Its gain on the days the benchmark rose, as a share of the benchmark's."
Down capture,1.000777,,"Its loss on the days the benchmark fell, as a share of the benchmark's."
