# View: fund_performance
# Question: How has it done against its benchmark, for the risk taken?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:18.552344+00:00
measure,1y,meaning
Return a year,-0.040881,"Annualised, with dividends reinvested."
Benchmark a year,,"The benchmark over the same days, dividends included."
Ahead of benchmark,,The fund's return a year less the benchmark's.
Volatility,0.169093,"How widely its daily price swings, scaled to a year."
Deepest fall,-0.122152,The largest fall from a high within the period.
Sharpe ratio,-0.565547,Return above cash for each unit of volatility.
Sortino ratio,-0.786302,Return above cash for each unit of downward swings only.
Treynor ratio,,Return above cash for each unit of beta.
Alpha a year,,Return beyond what its beta to the benchmark accounts for.
Beta,,How far it moved for each 1% the benchmark moved.
Tracking error,,"How far its daily returns strayed from the benchmark's, a year."
Information ratio,,Its lead over the benchmark for each unit of tracking error.
Up capture,,"Its gain on the days the benchmark rose, as a share of the benchmark's."
Down capture,,"Its loss on the days the benchmark fell, as a share of the benchmark's."
